tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-8a_LP-DIR-T-151	SS20-8a_LP-DIR-T	SS20-8a	2.7	29.1	38.4	0	0	0.0	0.0	2	373.0	This study	hargrave 2016-02-22 19:59:40	LT-T-Z:LP-DIR-T	g	151	u	8	273			pmagpy-4.2.109	7.78e-07	3.27e-07	4.9e-07	1.24e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-152	SS20-8a_LP-DIR-T	SS20-8a	1.7	26.5	35.7	0	0	0.0	0.0	3	473.0	This study	hargrave 2016-02-23 19:43:53	LT-T-Z:LP-DIR-T	g	152	u	8	273			pmagpy-4.2.109	7.47e-07	2.45e-07	2.24e-07	1.54e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-153	SS20-8a_LP-DIR-T	SS20-8a	3.2	26.5	35.0	0	0	0.0	0.0	4	573.0	This study	hargrave 2016-02-27 17:54:53	LT-T-Z:LP-DIR-T	g	153	u	8	273			pmagpy-4.2.109	7.27e-07	3.83e-07	5.14e-07	1.45e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-154	SS20-8a_LP-DIR-T	SS20-8a	2.4	25.3	34.3	0	0	0.0	0.0	5	598.0	This study	hargrave 2016-02-29 19:25:18	LT-T-Z:LP-DIR-T	g	154	u	8	273			pmagpy-4.2.109	7.2e-07	2.59e-07	4.1e-07	1.05e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-155	SS20-8a_LP-DIR-T	SS20-8a	1.9	25.1	33.7	0	0	0.0	0.0	6	623.0	This study	hargrave 2016-03-01 17:51:39	LT-T-Z:LP-DIR-T	g	155	u	8	273			pmagpy-4.2.109	7.07e-07	2.72e-07	2.39e-07	1.49e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-156	SS20-8a_LP-DIR-T	SS20-8a	3.0	24.8	33.4	0	0	0.0	0.0	7	648.0	This study	hargrave 2016-03-07 17:51:05	LT-T-Z:LP-DIR-T	g	156	u	8	273			pmagpy-4.2.109	6.98e-07	2.83e-07	5.05e-07	1.04e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-157	SS20-8a_LP-DIR-T	SS20-8a	2.3	24.9	33.1	0	0	0.0	0.0	8	673.0	This study	hargrave 2016-03-08 13:46:32	LT-T-Z:LP-DIR-T	g	157	u	8	273			pmagpy-4.2.109	6.82e-07	2.99e-07	3.14e-07	1.52e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-158	SS20-8a_LP-DIR-T	SS20-8a	1.7	27.2	33.2	0	0	0.0	0.0	9	698.0	This study	hargrave 2016-03-14 11:03:03	LT-T-Z:LP-DIR-T	g	158	u	8	273			pmagpy-4.2.109	6.6e-07	2.29e-07	1.79e-07	1.32e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-159	SS20-8a_LP-DIR-T	SS20-8a	1.4	25.0	33.4	0	0	0.0	0.0	10	723.0	This study	hargrave 2016-03-14 19:04:23	LT-T-Z:LP-DIR-T	g	159	u	8	273			pmagpy-4.2.109	6.1e-07	1.79e-07	1.31e-07	1.29e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-160	SS20-8a_LP-DIR-T	SS20-8a	2.5	25.6	33.1	0	0	0.0	0.0	11	748.0	This study	hargrave 2016-03-15 14:46:14	LT-T-Z:LP-DIR-T	g	160	u	8	273			pmagpy-4.2.109	5.85e-07	2.5e-07	3.07e-07	1.22e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-161	SS20-8a_LP-DIR-T	SS20-8a	1.3	25.7	32.5	0	0	0.0	0.0	12	773.0	This study	hargrave 2016-03-25 13:32:06	LT-T-Z:LP-DIR-T	g	161	u	8	273			pmagpy-4.2.109	5.34e-07	1.45e-07	9.18e-08	1.23e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-162	SS20-8a_LP-DIR-T	SS20-8a	1.3	25.2	33.0	0	0	0.0	0.0	13	788.0	This study	hargrave 2016-03-27 12:53:39	LT-T-Z:LP-DIR-T	g	162	u	8	273			pmagpy-4.2.109	5.08e-07	1.02e-07	1.23e-07	1.24e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-163	SS20-8a_LP-DIR-T	SS20-8a	1.3	25.3	33.0	0	0	0.0	0.0	14	803.0	This study	hargrave 2016-03-28 09:48:30	LT-T-Z:LP-DIR-T	g	163	u	8	273			pmagpy-4.2.109	4.51e-07	1.05e-07	7.86e-08	1.11e-07	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-164	SS20-8a_LP-DIR-T	SS20-8a	1.9	25.3	32.5	0	0	0.0	0.0	15	813.0	This study	hargrave 2016-03-28 19:11:25	LT-T-Z:LP-DIR-T	g	164	u	8	273			pmagpy-4.2.109	3.91e-07	1.44e-07	1.33e-07	9.66e-08	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-165	SS20-8a_LP-DIR-T	SS20-8a	1.5	25.1	32.9	0	0	0.0	0.0	16	823.0	This study	hargrave 2016-03-29 16:13:30	LT-T-Z:LP-DIR-T	g	165	u	8	273			pmagpy-4.2.109	3.25e-07	1.01e-07	6.54e-08	8.47e-08	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-166	SS20-8a_LP-DIR-T	SS20-8a	1.5	27.9	33.4	0	0	0.0	0.0	17	833.0	This study	hargrave 2016-03-30 13:29:28	LT-T-Z:LP-DIR-T	g	166	u	8	273			pmagpy-4.2.109	2.25e-07	4.71e-08	6.94e-08	5.19e-08	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-167	SS20-8a_LP-DIR-T	SS20-8a	1.8	28.6	32.9	0	0	0.0	0.0	18	843.0	This study	hargrave 2016-04-04 15:06:20	LT-T-Z:LP-DIR-T	g	167	u	8	273			pmagpy-4.2.109	1.05e-07	3.56e-08	3.35e-08	2.77e-08	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-168	SS20-8a_LP-DIR-T	SS20-8a	1.7	27.8	30.5	0	0	0.0	0.0	19	848.0	This study	hargrave 2016-04-05 12:29:54	LT-T-Z:LP-DIR-T	g	168	u	8	273			pmagpy-4.2.109	4.79e-08	1.48e-08	1.14e-08	1.34e-08	SS20-8	SS20	Michipicoten Island
SS20-8a_LP-DIR-T-169	SS20-8a_LP-DIR-T	SS20-8a	2.7	29.4	34.1	0	0	0.0	0.0	20	853.0	This study	hargrave 2016-04-05 20:08:43	LT-T-Z:LP-DIR-T	g	169	u	8	273			pmagpy-4.2.109	3.33e-08	1.55e-08	1.68e-08	1.25e-08	SS20-8	SS20	Michipicoten Island
