tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-2a_LP-DIR-T-27	SS20-2a_LP-DIR-T	SS20-2a	0.9	251.6	15.8	0	0	0.0	0.0	5	598.0	This study	hargrave 2016-02-29 19:12:35	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.109	1.48e-07	1.75e-08	1.42e-08	2.41e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-28	SS20-2a_LP-DIR-T	SS20-2a	1.5	251.5	14.7	0	0	0.0	0.0	6	623.0	This study	hargrave 2016-03-01 17:41:05	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.109	1.42e-07	4.11e-08	1.35e-08	1.69e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-29	SS20-2a_LP-DIR-T	SS20-2a	3.2	252.3	14.6	0	0	0.0	0.0	7	648.0	This study	hargrave 2016-03-07 17:37:12	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.109	1.38e-07	9.28e-08	2.26e-08	2.24e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-30	SS20-2a_LP-DIR-T	SS20-2a	2.1	252.1	14.0	0	0	0.0	0.0	8	673.0	This study	hargrave 2016-03-08 13:37:36	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.109	1.27e-07	5.52e-08	1.18e-08	1.76e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-31	SS20-2a_LP-DIR-T	SS20-2a	2.7	249.5	13.3	0	0	0.0	0.0	9	698.0	This study	hargrave 2016-03-14 10:54:06	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.109	1.15e-07	5.57e-08	4.09e-08	1.9e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-32	SS20-2a_LP-DIR-T	SS20-2a	4.0	246.0	13.8	0	0	0.0	0.0	10	723.0	This study	hargrave 2016-03-14 18:55:30	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.109	1.02e-07	8.05e-08	3.09e-08	2.54e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-33	SS20-2a_LP-DIR-T	SS20-2a	2.6	248.2	12.8	0	0	0.0	0.0	11	748.0	This study	hargrave 2016-03-15 14:36:26	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.109	8.55e-08	4.36e-08	1.38e-08	1.74e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-34	SS20-2a_LP-DIR-T	SS20-2a	1.5	251.5	14.9	0	0	0.0	0.0	12	773.0	This study	hargrave 2016-03-25 13:22:59	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.109	6.24e-08	1.38e-08	9.2e-09	1.51e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-35	SS20-2a_LP-DIR-T	SS20-2a	1.5	248.8	13.6	0	0	0.0	0.0	13	788.0	This study	hargrave 2016-03-27 12:43:50	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.109	5.65e-08	1.36e-08	5.06e-09	1.37e-08	SS20-2	SS20	Michipicoten Island
SS20-2a_LP-DIR-T-36	SS20-2a_LP-DIR-T	SS20-2a	1.4	251.7	13.9	0	0	0.0	0.0	14	803.0	This study	hargrave 2016-03-28 09:38:39	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.109	3.92e-08	8.05e-09	1.05e-08	7.62e-09	SS20-2	SS20	Michipicoten Island
